"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Henderson",,"TX","Athens, TX","Athens, TX",,4.28405122235157,100,,,142300,0.494350282485876,6.19402985074627,0.0111033028812368,,,,62
"County","Hendricks",,"IN","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN",,5.25029103608848,99.03,,,186400,0.539374325782093,7.80798149219202,-0.0180364806866953,,0.0433020637898687,0.0251299826689775,50
"County","Highlands",,"FL","Sebring, FL","Sebring, FL",,8.0151338766007,82.47,,,127200,0,9.6551724137931,0.0652122641509434,,0.106015037593985,0.0106382978723404,102
"County","Hillsdale",,"MI","Hillsdale, MI","Hillsdale, MI",,5.26775320139697,90.91,,,120300,0.333611342785655,8.77034358047016,0.0756774729842062,,0.125279642058166,0.0267857142857143,62.5
"County","Humphreys",,"TN",,,,9.55180442374854,100,,,104400,0.0958772770853308,13.7254901960784,0.0875383141762451,,0.0982028241335045,0.0065359477124183,97.5
"County","Hunterdon",,"NJ","New York, NY","New York-Newark-Jersey City, NY-NJ-PA",,3.30034924330617,,,,380400,0.105263157894737,4.50549450549451,0.0616324921135647,,0.07154384077461,0.0557644110275689,98
"County","Iberville",,"LA","Baton Rouge, LA","Baton Rouge, LA",,1.84516880093132,100,,,92500,-0.215749730312837,0.434310532030402,0.0311567567567568,,0.206511175898931,0.0423529411764706,75
"County","Jefferson",,"AL","Birmingham, AL","Birmingham-Hoover, AL",,1.92083818393481,85.46,9.3769,4.0851,115100,0.788091068301226,11.531007751938,0.0249348392701998,,0.176967836818211,0.0284723225899696,65
"County","Jefferson",,"CO","Denver, CO","Denver-Aurora-Lakewood, CO",,9.40046565774156,98.33,0.7771,0.0678,416400,0.144300144300144,6.98869475847893,0.051460134486071,,0.0345156155415555,0.00194868463786944,43
"County","Jefferson",,"ID","Idaho Falls, ID","Idaho Falls, ID",,2.63678696158324,,,,209000,-1.1352885525071,2.60186548846343,0.00544019138755991,,0.0271197007481297,0,55.5
"County","Jefferson",,"IL","Mount Vernon, IL","Mount Vernon, IL",,4.23166472642608,57.14,,,54500,0.739371534195933,2.44360902255639,0.0730458715596329,,0.183963691376702,0.03125,119
"County","Jefferson",,"IN","Madison, IN","Madison, IN",,6.81024447031432,,,,117900,0.425894378194208,21.4212152420185,0.035826972010178,,0.0925465838509317,0.0436241610738255,
"County","Jefferson",,"KS","Topeka, KS","Topeka, KS",,6.13504074505239,,,,126300,0.397456279809221,2.26720647773279,0.026991290577989,,0.082374318594791,0.0147058823529412,62
"County","Jefferson",,"KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,5.37252619324796,89.98,,0.0854,157500,0.382409177820268,5.07004669779853,0.00654603174603174,,0.080565474734628,0.0337583485124469,60
"County","Jefferson",,"LA","New Orleans, LA","New Orleans-Metairie, LA",,1.06519208381839,84.48,,,166800,0,-0.3584229390681,0.0326079136690647,,0.107079023998393,0.0448237059264816,70
"County","Jefferson",,"MO","St. Louis, MO","St. Louis, MO-IL",,6.19906868451688,,,0.819,166700,0.240529164161155,5.43959519291588,0.0536232753449311,,0.0722998202185037,0.0225707727620505,60
"County","Jefferson",,"NY","Watertown, NY","Watertown-Fort Drum, NY",,3.66705471478463,45.45,1.3398,2.5832,135900,0.369276218611521,6.25488663017983,0.0234805003679175,,,,106.5
"County","Jefferson",,"OR",,,,4.50523864959255,63.64,2.9412,5.0124,229100,0.526546731022378,14.6073036518259,0.00948057616761244,,0.0675555555555555,0.0131578947368421,59.5
"County","Jefferson",,"PA",,,,4.9825378346915,91.3,5.1724,,84100,-0.118764845605701,6.45569620253165,0.0791676575505351,,0.136436597110754,0.0252100840336134,94
"County","Jefferson",,"TN","Morristown, TN","Morristown, TN",,7.04889406286379,100,4.4867,1.2106,135800,0.0736919675755343,9.25181013676589,0.107054491899853,,0.093349358974359,0.0300429184549356,72.5
"County","Jefferson",,"WA",,,,5.71012805587893,92.59,6.032,0.9124,363200,0.553709856035437,8.28861061419201,0.017078744493392,,,,62
"County","Jefferson",,"WI","Watertown, WI","Watertown-Fort Atkinson, WI",,4.39464493597206,0,,2.3212,191800,0.947368421052632,7.27069351230425,0.0153128258602711,,0.0740148669171129,0.0161987041036717,72.5
"County","Jefferson",,"WV","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",,1.52502910360885,,,,214200,-0.0466635557629491,7.04647676161919,0.0437768440709618,,0.173841893252769,0.0369297610427227,69
"County","Jessamine",,"KY","Lexington, KY","Lexington-Fayette, KY",,6.35040745052387,86.96,,,151000,0.666666666666667,5.08002783576896,0.0978145695364239,,0.0640210820027903,0.0314769975786925,63
"County","Josephine",,"OR","Grants Pass, OR","Grants Pass, OR",,6.83352735739232,90.74,6.9237,4.2462,274600,0.512445095168375,8.40900118436636,0.066238164603059,,0.0472924703529076,0.027190332326284,71
"County","Kalamazoo",,"MI","Kalamazoo, MI","Kalamazoo-Portage, MI",,7.78812572759022,,,,155900,1.23376623376623,9.5572733661279,0.0455997434252726,,0.0853172968668479,0.0186675249436756,62
"County","Kandiyohi",,"MN","Willmar, MN","Willmar, MN",,5.51804423748545,84.38,,,156500,0.57840616966581,8.00552104899931,0.010594249201278,,0.0808894000383362,0.023696682464455,79.5
